iso3,country_name,income_level,isco_major,transport_mass,exposed_mass,sub_only_mass,both_mass,aug_only_mass,exposed_share,sub_only_share,both_share,aug_only_share,isco_major_label
AFG,Afghanistan,Low income,1,1542.1477372300901,208.51705173911054,80.67696192696192,121.71186525892406,6.128224553224552,0.135212111463222,0.052314677757053854,0.07892360914625167,0.003973824559916476,Managers
AFG,Afghanistan,Low income,2,8697.544969435448,1059.8420679552646,292.8094516594516,690.4477900109865,76.58482628482628,0.12185531338782583,0.03366575886510854,0.07938421617103786,0.00880533835167941,Professionals
AFG,Afghanistan,Low income,3,4905.319157966216,747.1583913635384,362.8375939420057,359.7182749440102,24.602522477522477,0.1523159589218892,0.07396819294678493,0.07333228753522171,0.005015478439882569,Technicians
AFG,Afghanistan,Low income,4,883.5203459938754,311.57632449250093,216.7742025947908,93.44573661632485,1.3563852813852812,0.35265325343697385,0.24535281341024545,0.10576523454160797,0.0015352054851204115,Clerical support
AFG,Afghanistan,Low income,5,1532.3961593961592,153.58567266067266,97.54071484071483,54.64849317349317,1.3964646464646466,0.100225827191575,0.063652414059267,0.035662118335657675,0.000911294796650315,Service and sales
AFG,Afghanistan,Low income,6,237.80710955710953,15.503175990675988,7.14609557109557,6.811625874125873,1.5454545454545454,0.06519223087799607,0.03004996606032685,0.028643491301886655,0.006498773515782561,Skilled agriculture
AFG,Afghanistan,Low income,7,3286.4003068568854,306.44735242827346,211.25245865245864,92.55095438187543,2.6439393939393936,0.09324711654538513,0.06428080541852814,0.02816180189271927,0.0008045092341377178,Craft and trades
AFG,Afghanistan,Low income,8,2120.6145576645577,278.33223443223443,221.998334998335,52.80535298035298,3.5285464535464532,0.131250742114476,0.10468584882432513,0.02490096693408903,0.0016639263560618283,Plant and machine operators
AFG,Afghanistan,Low income,9,616.2496558996559,68.03772893772893,49.96418581418581,16.859906759906757,1.2136363636363636,0.11040611266289703,0.08107783158311653,0.02735889034338392,0.0019693907363965823,Elementary occupations
AGO,Angola,Lower middle income,1,1542.1477372300901,476.0606517665341,119.92865010806186,333.6315899786488,22.500411679823443,0.30869976998546494,0.07776728987293412,0.21634217132652744,0.014590308786003398,Managers
AGO,Angola,Lower middle income,2,8697.544969435448,2215.7587103041437,458.18163653082377,1588.9122053084513,168.66486846486845,0.2547567983943367,0.05267942139315711,0.1826851382651243,0.019392238736055237,Professionals
AGO,Angola,Lower middle income,3,4905.319157966216,1611.1437852996676,601.8189213564214,947.6648835641482,61.65998037909802,0.3284483095627279,0.12268700607973085,0.19319127931261001,0.012570024170387058,Technicians
AGO,Angola,Lower middle income,4,883.5203459938754,545.4163157104333,339.19952204658085,201.50155302214125,4.71524064171123,0.6173217381846395,0.38391817866402844,0.22806668113055326,0.005336878390057942,Clerical support
AGO,Angola,Lower middle income,5,1532.3961593961592,334.55110167610167,161.6094461094461,171.32953435453433,1.612121212121212,0.21831893771381647,0.10546192322299236,0.11180498809266577,0.0010520263981583383,Service and sales
AGO,Angola,Lower middle income,6,237.80710955710953,49.18789821289821,14.406750194250192,31.03569347319347,3.745454545454545,0.20683947719017082,0.06058166310116309,0.13050784533311116,0.01574996875589656,Skilled agriculture
AGO,Angola,Lower middle income,7,3286.4003068568854,766.9596755583597,414.1659877403298,343.12096054530264,9.672727272727272,0.23337378406341502,0.12602420553460766,0.1044063195312514,0.002943258997555983,Craft and trades
AGO,Angola,Lower middle income,8,2120.6145576645577,737.450677100677,474.89273226773224,252.89844599844596,9.659498834498834,0.34775328427096847,0.22394108846953015,0.11925714886960134,0.004555046931837006,Plant and machine operators
