target_name,target_label,positive_label,negative_label,neuron_idx,candidate_idx,target_separation_score,interpretation,errors_top_activation,errors_zero_or_low_activation,n_top_activation,n_zero_or_low_activation,unclear_top_activation,unclear_zero_or_low_activation,yes_share_top_activation,yes_share_zero_or_low_activation,yes_share_top_minus_low,abs_target_separation_score
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,301,1,-0.5321041912316432,manual dexterity and fine tactile manipulation of small physical components,0,0,250,250,0,0,0.980,0.144,0.836,0.532104
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,301,2,-0.5321041912316432,manual dexterity and fine tactile motor control in unstructured physical manipulation tasks,0,0,250,250,0,0,0.976,0.180,0.796,0.532104
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,426,1,0.512886465353156,industrial process control with sensor-driven adaptive feedback loops,0,0,250,250,0,0,0.956,0.172,0.784,0.512886
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,65,1,0.507699344412258,AI-based personalized learning and training content delivery,0,0,250,250,0,0,0.908,0.132,0.776,0.507699
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,65,2,0.507699344412258,AI-driven personalized learning and training content delivery,0,0,250,250,0,0,0.924,0.152,0.772,0.507699
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,426,2,0.512886465353156,industrial process control with sensor-driven adaptive feedback loops,0,0,250,250,0,0,0.920,0.184,0.736,0.512886
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,459,2,0.4998541080112618,automated vision-based defect inspection and quality control in manufacturing or processing lines,0,0,250,250,0,0,0.940,0.216,0.724,0.499854
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,341,1,0.5146304831943653,computer vision-based visual inspection and monitoring of physical scenes,0,0,250,250,0,0,0.912,0.192,0.720,0.514630
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,58,2,-0.5039382696965012,unstructured outdoor physical work requiring real-time manual manipulation and safety judgment,0,0,250,250,0,0,0.948,0.244,0.704,0.503938
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,459,1,0.4998541080112618,automated visual defect inspection in industrial production lines,0,0,250,250,0,0,0.864,0.160,0.704,0.499854
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,131,1,0.5079026274330436,"AI-assisted synthesis and drafting of reports, policy documents, or educational materials from large datasets and research sources",0,0,250,250,0,0,0.900,0.208,0.692,0.507903
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,311,2,0.5129077137115474,medical record and patient-data processing,0,0,250,250,0,0,0.904,0.228,0.676,0.512908
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,299,2,0.5084288260758849,routine customer/support and administrative inquiries handled by conversational AI with knowledge retrieval/drafting support,0,0,250,250,0,0,0.916,0.244,0.672,0.508429
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,58,1,-0.5039382696965012,unstructured outdoor physical labor requiring manual force and real-time safety judgment,0,0,250,250,0,0,0.900,0.228,0.672,0.503938
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,341,2,0.5146304831943653,computer vision-based image or video inspection for safety/compliance monitoring,0,0,250,250,0,0,0.924,0.272,0.652,0.514630
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,47,2,0.5060855825519349,industrial manufacturing processes using automated machinery and robotic handling equipment,0,0,250,250,0,0,0.872,0.232,0.640,0.506086
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,298,2,0.4999712171052631,CAM/CNC machining and toolpath/G-code generation for precision fabrication,0,0,250,250,0,0,0.744,0.104,0.640,0.499971
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,302,2,-0.501943817920853,hands-on troubleshooting and repair of specialized hardware requiring physical access and manual dexterity,0,0,250,250,0,0,0.908,0.272,0.636,0.501944
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,302,1,-0.501943817920853,hands-on troubleshooting and repair of specialized hardware equipment,0,0,250,250,0,0,0.940,0.312,0.628,0.501944
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,298,1,0.4999712171052631,CAM/CNC machining with AI-driven toolpath or G-code generation for precision fabrication,0,0,250,250,0,0,0.744,0.128,0.616,0.499971
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,45,2,-0.5171913084063683,interpersonal trust-based communication and negotiation,0,0,250,250,0,0,0.840,0.236,0.604,0.517191
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,299,1,0.5084288260758849,routine customer/support and administrative knowledge queries handled by conversational AI with drafting/retrieval assistance,0,0,250,250,0,0,0.908,0.312,0.596,0.508429
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,131,2,0.5079026274330436,"AI-assisted synthesis and drafting of reports, policy documents, or educational materials from large datasets or research sources",0,0,250,250,0,0,0.888,0.296,0.592,0.507903
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,440,1,0.5089844744209723,automated extraction and cross-referencing of structured legal or regulatory documents,0,0,250,250,0,0,0.844,0.256,0.588,0.508984
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,311,1,0.5129077137115474,medical record and patient-data documentation workflows,0,0,250,250,0,0,0.824,0.244,0.580,0.512908
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,45,1,-0.5171913084063683,"interpersonal communication, social negotiation, and trust-based human rapport",0,0,250,250,0,0,0.916,0.340,0.576,0.517191
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,369,2,-0.5007799457161878,high-context interpersonal negotiation and culturally nuanced creative judgment,0,0,250,250,0,0,0.884,0.316,0.568,0.500780
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,420,2,0.5149446685282864,drafting and synthesizing structured written content,0,0,250,250,0,0,0.940,0.376,0.564,0.514945
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,238,1,-0.5309862164761192,manual low-cost labor for basic material handling and loading,0,0,250,250,0,0,0.936,0.376,0.560,0.530986
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,462,1,-0.5206729247969624,manual healthcare documentation and patient-facing clinical coordination,0,0,250,250,0,0,0.840,0.284,0.556,0.520673
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,217,2,0.5885382358225044,"AI-assisted data analysis, prediction, and automated report generation in digital workflows",0,0,250,250,0,0,0.844,0.296,0.548,0.588538
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,31,2,-0.5189768118956015,"interpersonal, trust-based service work requiring real-time human rapport and adaptive social judgment",0,0,250,250,0,0,0.872,0.324,0.548,0.518977
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,238,2,-0.5309862164761192,"manual, low-cost physical labor for basic material handling and packing",0,0,250,250,0,0,0.928,0.392,0.536,0.530986
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,187,2,-0.5085725449335764,high-context interpersonal trust and relationship-based communication,0,0,250,250,0,0,0.800,0.264,0.536,0.508573
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,47,1,0.5060855825519349,industrial automation equipment replacing manual physical handling,0,0,250,250,0,0,0.956,0.420,0.536,0.506086
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,102,2,-0.5042916001442035,"personnel management and HR decision-making involving hiring, promotions, complaints, and internal policy",0,0,250,250,0,0,0.716,0.180,0.536,0.504292
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,440,2,0.5089844744209723,automated extraction and cross-referencing of complex legal or regulatory documents,0,0,250,250,0,0,0.848,0.316,0.532,0.508984
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,462,2,-0.5206729247969624,manual healthcare documentation and patient-facing clinical work,0,0,250,250,0,0,0.816,0.292,0.524,0.520673
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,420,1,0.5149446685282864,AI-generated drafting and synthesis of written documents and templates,0,0,250,250,0,0,0.944,0.420,0.524,0.514945
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,187,1,-0.5085725449335764,high-context trust-based interpersonal communication and relationship management,0,0,250,250,0,0,0.796,0.276,0.520,0.508573
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,108,2,0.5070272464356386,automated drafting and editing of text documents and records,0,0,250,250,0,0,0.920,0.400,0.520,0.507027
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,102,1,-0.5042916001442035,"personnel management and HR decision-making involving hiring, promotions, complaints, and policy",0,0,250,250,0,0,0.756,0.236,0.520,0.504292
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,248,2,-0.5188174861096551,limited digital infrastructure and unreliable electricity/connectivity,0,0,250,250,0,0,0.976,0.460,0.516,0.518817
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,276,2,-0.5148550724637682,high-context interpersonal negotiation and subjective judgment in collaborative design and communication,0,0,250,250,0,0,0.936,0.420,0.516,0.514855
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,373,2,0.5218367986626267,digital platforms and automated administrative workflows,0,0,250,250,0,0,0.964,0.452,0.512,0.521837
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,110,2,0.5416409969196303,"AI-driven optimization and information-processing software in digitized, data-rich work environments",0,0,250,250,0,0,0.956,0.452,0.504,0.541641
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,319,2,-0.5044285023375786,manual operator-centric machine monitoring and control requiring physical presence,0,0,250,250,0,0,0.944,0.476,0.468,0.504429
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,31,1,-0.5189768118956015,"interpersonal service and advisory work requiring live human rapport, empathy, and adaptive questioning",0,0,250,250,0,0,0.880,0.416,0.464,0.518977
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,259,2,0.5070179007323027,"routine text extraction, summarization, and document structuring from unstructured records",0,0,250,250,0,0,0.644,0.188,0.456,0.507018
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,256,1,0.5006644161423968,automation of routine facility or operations management through digital control systems and software,0,0,250,250,0,0,0.944,0.492,0.452,0.500664
same_task_exposed_vs_non_exposed,Same-task exposed versus non-exposed across countries,Exposed,Non-exposed,256,2,0.5006644161423968,"automation of building, property, rental, fleet, classroom, or maintenance management via digital control/record-keeping systems",0,0,250,250,0,0,0.800,0.356,0.444,0.500664
