domain,margin,coef,se,ci_low,ci_high,n_cells,n_countries,n_groups,group_label
ISCO-2 occupations,Substitution-only,-0.3510946665210057,0.11868931645647433,-0.5837257267756953,-0.118463606266316,3084,89,42,All countries
ISCO-2 occupations,Augmentation-only,0.2733640000044861,0.39295931854289035,-0.496836264339579,1.0435642643485512,3084,89,42,All countries
ISCO-2 occupations,Substitution-only,-0.2626554307559665,0.2878128099842303,-0.8267685383250578,0.3014576768131249,1223,32,42,"High
income"
ISCO-2 occupations,Augmentation-only,-0.025668045634757584,0.2799660678087601,-0.5744015385399274,0.5230654472704123,1223,32,42,"High
income"
ISCO-2 occupations,Substitution-only,-0.1597105092659156,1.0191608029959833,-2.157265683138043,1.8378446646062117,364,14,41,"Low
income"
ISCO-2 occupations,Augmentation-only,-3.914416034667301,3.72904302563625,-11.22334036491435,3.3945082955797483,364,14,41,"Low
income"
ISCO-2 occupations,Substitution-only,-0.09341629072592982,0.44425264626981364,-0.9641514774147646,0.7773188959629049,834,26,42,"Lower-middle
income"
ISCO-2 occupations,Augmentation-only,1.1586678688936263,1.0135390109736995,-0.8278685926148246,3.145204330402077,834,26,42,"Lower-middle
income"
ISCO-2 occupations,Substitution-only,0.18305433733256155,0.7814293801832659,-1.3485472478266396,1.7146559224917626,621,16,42,"Upper-middle
income"
ISCO-2 occupations,Augmentation-only,-1.1758452419842067,1.3118924876785154,-3.747154517834097,1.3954640338656836,621,16,42,"Upper-middle
income"
ISIC-2 industries,Substitution-only,-0.21896254389390224,0.04137138937094162,-0.30005046706094785,-0.13787462072685666,4837,73,88,All countries
ISIC-2 industries,Augmentation-only,0.007804521070828989,0.0742165587189935,-0.13765993401839827,0.15326897616005625,4837,73,88,All countries
ISIC-2 industries,Substitution-only,-0.05918513530969652,0.04388561317096269,-0.14520093712478338,0.026830666505390358,2149,31,88,"High
income"
ISIC-2 industries,Augmentation-only,-0.12022873548958193,0.09196752735013579,-0.3004850890958481,0.06002761811668422,2149,31,88,"High
income"
ISIC-2 industries,Substitution-only,-0.019647171138470938,0.30492533799885385,-0.6173008336162245,0.5780064913392826,172,4,60,"Low
income"
ISIC-2 industries,Augmentation-only,-0.5154064862298244,0.41138472785782354,-1.3217205528311586,0.29090758037150966,172,4,60,"Low
income"
ISIC-2 industries,Substitution-only,0.04490792940305448,0.1118173802744431,-0.174254135934854,0.26406999474096293,1196,21,88,"Lower-middle
income"
ISIC-2 industries,Augmentation-only,0.09411630541235425,0.22969313025414298,-0.356082229885766,0.5443148407104744,1196,21,88,"Lower-middle
income"
ISIC-2 industries,Substitution-only,-0.055868005373037384,0.09768280416554112,-0.24732630153749796,0.1355902907914232,1243,16,88,"Upper-middle
income"
ISIC-2 industries,Augmentation-only,-0.09559320272390369,0.12326178248216343,-0.33718629638894404,0.14599989094113663,1243,16,88,"Upper-middle
income"
