atlas,imf,raw_r,partial_r,share_absorbed_by_gdp,n
ai_material_share,AI_PI,0.8993491211116253,0.41672713416982965,0.5366347457428533,117
ai_material_share,DI,0.9143315288686602,0.4975670407625008,0.45581331819743676,122
ai_material_share,HCLMP,0.8578421833330376,0.3781533101791599,0.5591807939428988,121
ai_material_share,IEI,0.749726369425744,0.06963962710679653,0.9071132749937323,118
ai_material_share,RE,0.8345626858695102,0.3185685196407152,0.6182808972476327,122
llm_like_share,AI_PI,0.8250583878578033,0.23052227835042954,0.7205988306488686,117
llm_like_share,DI,0.8557683258332585,0.35905787020514657,0.5804263147323976,122
llm_like_share,HCLMP,0.8194393550473027,0.3380345961524436,0.587480642624334,121
llm_like_share,IEI,0.6484733359878,-0.1260519649461504,1.1943826491402907,118
llm_like_share,RE,0.7767847748404517,0.214261866608822,0.7241682979010107,122
mean_exposure,AI_PI,0.8842652637938784,0.3563276041903233,0.5970353933597656,117
mean_exposure,DI,0.9163254514588459,0.5371452033928384,0.4138052123973305,122
mean_exposure,HCLMP,0.8685130708785896,0.4472792629556202,0.4850057207508097,121
mean_exposure,IEI,0.7124674563888899,-0.05583283118990026,1.0783654476976205,118
mean_exposure,RE,0.818726563402914,0.2734778947103952,0.6659716357879908,122
