region,income_level,countries,share_exposed,share_high_exposure,mean_task_exposure,sub_only_share,substitution_share,goods_trade_automation_intensity
East Asia & Pacific,High income,6,0.5771467116899599,0.15643753813036065,1.5705419313128701,0.21630935332151016,0.21630935332151016,1.8313814442075784
East Asia & Pacific,Lower middle income,6,0.3220638045078115,0.03707151850472593,0.9255022964657481,0.12149988473337943,0.12149988473337943,1.106001182299005
East Asia & Pacific,Upper middle income,4,0.5300654679475304,0.12924102283705274,1.4515783412913872,0.20363093091470086,0.20363093091470086,1.7486118808754243
Europe & Central Asia,High income,24,0.5635357273619316,0.1440387415119188,1.5252242126149644,0.20989183746820725,0.20989183746820725,1.6980276375801795
Europe & Central Asia,Lower middle income,3,0.36537745384901843,0.027947722154244473,1.0171658598003228,0.13846181128194215,0.13846181128194215,1.129386237177276
Europe & Central Asia,Upper middle income,7,0.5087786394597053,0.09168159725308207,1.3376324918279228,0.18704045995023083,0.18704045995023083,1.3589669036336647
Latin America & Caribbean,High income,3,0.5727687042258517,0.12328208402049973,1.486584738699438,0.19949992020003193,0.19949992020003193,1.5382014384950284
Latin America & Caribbean,Lower middle income,4,0.3178432728626909,0.018300792679682928,0.8719343512262595,0.10949885620045752,0.10949885620045752,0.70385767196507
Latin America & Caribbean,Not classified,1,0.4042134383146247,0.057775176889929246,1.1127307549076981,0.16518593392562644,0.16518593392562644,0.9510258513291787
Latin America & Caribbean,Upper middle income,11,0.47188027509967495,0.07204363309528573,1.2629552084929556,0.16528256833272206,0.16528256833272206,1.2622348891293944
Middle East & North Africa,High income,6,0.5591081915057264,0.1264549444407955,1.481265335240761,0.20497307583015298,0.20497307583015298,1.5265809378542237
Middle East & North Africa,Low income,2,0.16438793424482628,0.008777996488801405,0.5411767835292866,0.08618396552641379,0.08618396552641379,0.9822887342116247
Middle East & North Africa,Lower middle income,4,0.47852050859179657,0.06361387455445017,1.2634861946055223,0.16045113581954568,0.16045113581954568,1.1685281113698731
Middle East & North Africa,Upper middle income,4,0.3863648454540618,0.04331808267276693,1.0695456721817311,0.14354684258126296,0.14354684258126296,1.2072954795967576
North America,High income,2,0.573046977336144,0.1656994885060519,1.5777280065251849,0.21754589078425077,0.21754589078425077,1.6942911676186263
South Asia,Low income,1,0.13704314518274194,0.005745597701760919,0.456189817524073,0.06830877267649092,0.06830877267649092,0.6222334327233776
South Asia,Lower middle income,5,0.38094376762249293,0.045943501622599345,1.0714475714209715,0.13290418683832525,0.13290418683832525,0.967052663113828
Sub-Saharan Africa,Low income,16,0.15161993935202425,0.005762222695110922,0.5134595946161622,0.06412259935096026,0.06412259935096026,0.5895884576139441
Sub-Saharan Africa,Lower middle income,13,0.27257732500904575,0.016086916065929303,0.8080332438582561,0.09830169633993666,0.09830169633993666,0.932794586762661
Sub-Saharan Africa,Not classified,1,0.22083311166675534,0.00930999627600149,0.7179869128052349,0.0868755652497739,0.0868755652497739,0.7149744865648744
Sub-Saharan Africa,Upper middle income,1,0.5104537958184817,0.11767835292865883,1.4116082353567059,0.19284992286003086,0.19284992286003086,1.5810993061728622
